Export des établissement correspondant à  la rubrique est  2510 ;;;;;;;;;;;;;;;;;;
BASE;NUMERO;NOM;NOM USUEL;ADR EXPL 1;ADR EXPL 2;COMMUNE EXPL;DEPARTEMENT EXPL;ADR ADM 1;ADR ADM 2;COMMUNE ADM;CP ADM;BUREAU EXPEDITEUR;REGIME;REGIME SEVESO;ETAT ACTIV.;SIRET;LAMBERT 2 X;LAMBERT 2 Y
68;7500;Ets Jean POUZENC & CIE;POUZENC Jean ETS & CIE;Saint Hubert;;VIELMUR SUR AGOUT;81;Les Pales;;VIELMUR SUR AGOUT;81570;VIELMUR SUR AGOUT;A;NS - NON SEVESO;En fonctionnement;30581519300019;581118;1847284
70;397;VANDAELE MARCEL;VANDAELE MARCEL;DOMMARTIN;;TORTEFONTAINE;62;;;TORTEFONTAINE;62140;TORTEFONTAINE;A;NS - NON SEVESO;Récolement fait;461409252;569884;2593527
100;2775;S.A. COLAS;S.A. COLAS;LA CROIX DES PALMES;;DUN LE POELIER;36;;;DUN LE POELIER;36210;DUN LE POELIER;;NS - NON SEVESO;A l'arrêt;;555524;2244458
57;3368;SOCAHM;SOCAHM;"""Bois du haut de Baut""";;ROUVROY SUR MARNE;52;17 rue de l'Eglise;;ROUVROY SUR MARNE;52300;ROUVROY SUR MARNE;A;NS - NON SEVESO;En fonctionnement;49435732000014;805816;2377109
61;196;SEDA;SEDA;EN VIOLAY;;LEYMENT;1;EN VIOLAY;;LEYMENT;1150;LEYMENT;;NS - NON SEVESO;A l'arrêt;758200521;829598;2106677
61;1488;CARRIERES DE SAINT LAURENT;CARRIERES DE SAINT LAURENT;RHONE PK 12 A 12,600;;SOLAIZE;69;RHONE PK 12 A 12,600;;SOLAIZE;69360;SOLAIZE;;NS - NON SEVESO;A l'arrêt;344503255;794998;2073977
65;6662;DELIENNE JEAN;DELIENNE JEAN;LE CLOS SOUHARD;78033001;AULNAY SUR MAULDRE;78;;78033001;AULNAY SUR MAULDRE;78126;AULNAY SUR MAULDRE;;NS - NON SEVESO;A l'arrêt;;563600;2437000
61;1604;Sté des Carrières et Matériaux de Savoie;SCMS (Carrière à  LA MOTTE SERVOLEX);LE TREMBLAY;;LA MOTTE SERVOLEX;73;LE TREMBLAY;;LA MOTTE SERVOLEX;73290;LA MOTTE SERVOLEX;A;NS - NON SEVESO;En fonctionnement;746720382;875195;2076396
61;1555;SAMBUIS FRERES;SAMBUIS FRERES;PLAN DES ROIS;;FONTCOUVERTE LA TOUSSUIRE;73;PLAN DES ROIS;;LA TOUSSUIRE;73300;FONTCOUVERTE LA TOUSSUIRE;;NS - NON SEVESO;A l'arrêt;930091034;912538;2035289
57;3366;CHAPLAIN SA;CHAPLAIN Lassicourt;Les Longues Raies;;LASSICOURT;10;Rue Basse;;VINETS;10700;VINETS;A;NS - NON SEVESO;En fonctionnement;30202132400025;760488;2383718
57;2398;COMMUNE DE NOZAY;COMMUNE DE NOZAY;Le village;;NOZAY;10;;;NOZAY;10700;NOZAY;A;NS - NON SEVESO;En fonctionnement;;730284;2391243
53;2814;CARRIERES DE CHAILLOUE;CARRIERES DE CHAILLOUE;Le Follet;;CHAILLOUE;61;;;CHAILLOUE;61500;CHAILLOUE;A;NS - NON SEVESO;En fonctionnement;9602003700014;442690;2408314
51;5561;NOEL Christian;NOEL Christian;"""Le Champ Cadet""";Parcelle ZD n° 3;HAUTBOS;60;11 rue Thérines;;HAUTBOS;60210;HAUTBOS;D;NS - NON SEVESO;En fonctionnement;39744108000017;566200;2514600
55;3796;LAGADEC ET CIE S.A;LAGADEC ET CIE SA - Guissény;TOULLOUARN;;GUISSENY;29;TOULLOUARN;;GUISSENY;29880;GUISSENY;A;NS - NON SEVESO;En fonctionnement;635820293;101004;2424168
53;57;CGB ;CGB;Le Mont Tornu;;BILLY;14;Le Mont Tornu;;BILLY;14370;BILLY;A;NS - NON SEVESO;En fonctionnement;43033840000012;415924;2458437
51;3483;LE ROUX Didier;LE ROUX Didier;DERRIERE LE CHATEAU;;MACHY;80;;;MACHY;80150;MACHY;;NS - NON SEVESO;A l'arrêt;40894026000016;561625;2586246
100;3277;SACATRA;SACATRA;PETITES PERRIERES;;CONTRES;41;;;CONTRES;41700;CONTRES;;NS - NON SEVESO;A l'arrêt;;531440;2269196
63;832;"BOUYER LEROUX SA  ""l a Fortunière""";"BOUYER LEROUX SA  ""l a Fortunière""";LA FORTUNIERE;;ST CYR DES GATS;85;;;ST CYR DES GATS;85410;ST CYR DES GATS;A;NS - NON SEVESO;En fonctionnement;31869768700016;352475;2181767
100;2548;MAIRIE DE BROUE;MAIRIE DE BROUE;Le Télégraphe;;BROUE;28;;;BROUE;28410;BROUE;;NS - NON SEVESO;A l'arrêt;;540194;2416813
66;980;JOULIE TP SNC;JOULIE TP (Cournonterral);"Lieu-dit ""Les Peyroulles Basses""";;COURNONTERRAL;34;rue des Barrys;BP 1;COURNONSEC;34660;COURNONSEC;;NS - NON SEVESO;A l'arrêt;;711027;1839512
51;4131;Gaec Bruyer;BRUYER (GAEC);559, rue du bout de la ville;;ALLERY;80;559 rue du Bout de la Ville;;ALLERY;80270;ALLERY;;NS - NON SEVESO;Récolement fait;;567550;2551655
68;7731;GUINTOLI;GUINTOLI;A Gaillat;;BARCELONNE DU GERS;32;114 route d'Ox;;MURET;31600;MURET;;NS - NON SEVESO;En construction;;394770;1857337
182;209;ASSALIT Philippe;ASSALIT Philippe;"lieu-dit ""Le Caussanel""";;ST PAULET;11;Route de Revel;;VILLEFRANCHE DE LAURAGAIS;31290;VILLEFRANCHE DE LAURAGAIS;;NS - NON SEVESO;Récolement fait;;562630;1822676
100;2653;BEC FRERES;BEC FRERES;BOIS DE VILLEAU;;ROUVRAY ST FLORENTIN;28;;;ROUVRAY ST FLORENTIN;28150;ROUVRAY ST FLORENTIN;;NS - NON SEVESO;A l'arrêt;;542751;2362438
54;116;LIPPIELLO FRERES;LIPPIELLO FRERES;SUR LA CAVE;;ESSAROIS;21;sur la Cave;;ESSAROIS;21290;ESSAROIS;;NS - NON SEVESO;Récolement fait;327283198;783496;2308768
61;1800;CARRIERES DE POMBOURG;CARRIERES DE POMBOURG;POMBOURG;;LA FORCLAZ;74;POMBOURG;;LA FORCLAZ;74200;LA FORCLAZ;A;NS - NON SEVESO;En fonctionnement;329362537;928349;2156284
100;2798;MAIRIE DE MENETREOLS;MAIRIE DE MENETREOLS;LES BOIS;;MENETREOLS SOUS VATAN;36;;;MENETREOLS SOUS VATAN;36150;MENETREOLS SOUS VATAN;;NS - NON SEVESO;A l'arrêt;;562348;2224317
65;1491;HOLCIM GRANULATS;zz_HOLCIM  (ex.ORSA)  Marcilly;"Lieux dit ""LES VIEILLES VIGNES""";77274001;MARCILLY;77;"Immeuble ""Les Diamants""";41 rue Delizy;MARCILLY;77139;MARCILLY;;NS - NON SEVESO;Récolement fait;33389261000747;639482;2449731
61;126;GRANULATS RHONE ALPES.;GRANULATS RHONE ALPES.;SUR MALANET;;DRUILLAT;1;SUR MALANET;;DRUILLAT;1160;DRUILLAT;;NS - NON SEVESO;A l'arrêt;646750042;830398;2122077
54;566; CARRIERES DU PULEY;CARRIERES DU PULEY;LES PIERRES BLANCHES;#3799;LE PULEY;71;;;LE PULEY;71460;LE PULEY;A;NS - NON SEVESO;En fonctionnement;397978206;770894;2189676
58;79;CONTI Mesnil s/s Vienne;CONTI Mesnil s/s Vienne;GRAS BUISSON;;MESNIL SOUS VIENNE;27;;;MESNIL SOUS VIENNE;27150;MESNIL SOUS VIENNE;;NS - NON SEVESO;A l'arrêt;583640578;551400;2487500
72;6483;IMERYS CERAMICS  - Edon - La Faisanderie;IMERYS CERAMICS FRANCE - Edon ;La Faisanderie-le Parc - Chez Poirier;;EDON;16;La Terre des Landes;Site de César;ST SULPICE DE MAREUIL;24340;ST SULPICE DE MAREUIL;;NS - NON SEVESO;Récolement fait;;446765;2055970
72;6964;TERREAL -  Manot;"TERREAL -  Manot ""Le Grand champ""";"""Le Grand champ"" - ""La Borde""";;MANOT;16;15. rue Pagès;;SURESNES;92150;SURESNES;A;NS - NON SEVESO;En fonctionnement;562110346;466965;2101563
64;2070;ARMAND ET FRERES;CARRIERE ARMAND ET FRERES;Bluie;;ST LEGER DU VENTOUX;84;quartier de la Basse Rouvette;;MOLLANS SUR OUVEZE;26170;MOLLANS SUR OUVEZE;;NS - NON SEVESO;Récolement fait;;835041;1916803
126;534;COMMUNAUTE DE COMMUNES DU VAL D'AMOUR;COMMUNAUTE DE COMMUNES DU VAL D'AMOUR;59, grande rue;;CHAMBLAY;39;59, grande rue;;CHAMBLAY;39380;CHAMBLAY;A;NS - NON SEVESO;A l'arrêt;24390042000015;856252;2226923
61;822;GIRAUD ALPHONSE;GIRAUD ALPHONSE;BUCLET;;LE BOURG D OISANS;38;BUCLET;;LE BOURG D OISANS;38520;LE BOURG D OISANS;;NS - NON SEVESO;A l'arrêt;307024810;890781;2012714
51;4723;LEVEL Hervé;LEVEL Hervé;;;CRAMONT;80;;;CRAMONT;80370;CRAMONT;;NS - NON SEVESO;A l'arrêt;34525793500014;579390;2573026
62;7427;ROCAMAT;ROCAMAT Juvigny en Perthois (578);"""Belle Epine"" et ""Longue Queue""";;JUVIGNY EN PERTHOIS;55;"""Belle Epine"" et ""Longue Queue""";;JUVIGNY EN PERTHOIS;55170;JUVIGNY EN PERTHOIS;A;NS - NON SEVESO;En fonctionnement;572086577;809072;2403531
51;3304;LENOIR-LEPRETRE REJANE;LENOIR-LEPRETRE REJANE;LES FLOTS;;BERGICOURT;80;;;BERGICOURT;80290;BERGICOURT;;NS - NON SEVESO;A l'arrêt;1054;577388;2528299
68;2105;MIDI PYRENEES GRANULATS;MIDI PYRENEES GRANULATS (Montaut);La ginestière, La Cabanne, Le Mouliné;;MONTAUT;9;35 av. Champollion;BP10389;TOULOUSE;31000;TOULOUSE;A;NS - NON SEVESO;En fonctionnement;560800468;541135;1802721
53;1351;Schistes Bleus du Cotentin;SCHISTES BLEUS DU COTENTIN;Les Costils;;LA GLACERIE;50;;;LA GLACERIE;50470;LA GLACERIE;;NS - NON SEVESO;Récolement fait;3440390129;317736;2521271
68;3014;PIERRE MARBREE DE SAUCLIERES SARL ;PIERRE MARBREE DE SAUCLIERES SARL ;Les Bastides;;SAUCLIERES;12;536 rue des micocouliers;;MILLAU;12100;MILLAU;A;NS - NON SEVESO;En fonctionnement;49275353800015;683292;1886248
68;3498;SARL ETS SENEGAS JOSIAN;SENEGAS JOSIAN SARL ETS;Fombals;;ST SALVY DE LA BALME;81;Fombals;;ST SALVY DE LA BALME;81490;ST SALVY DE LA BALME;A;NS - NON SEVESO;En fonctionnement;30421702900012;603383;1845309
100;2532;MARBRERIE MARTIN;MARBRERIE MARTIN;;;BERCHERES LES PIERRES;28;;;BERCHERES LES PIERRES;28630;BERCHERES LES PIERRES;;NS - NON SEVESO;A l'arrêt;;542037;2376606
70;228;HENGUELLE VICTOR;HENGUELLE VICTOR;BOIS DE FRUGES;;FRUGES;62;;;FRUGES;62310;FRUGES;;NS - NON SEVESO;A l'arrêt;842;585435;2613041
61;838;BALTHAZARD & COTTE;BALTHAZARD & COTTE LA BUISSE;LA  CARRIERE;;LA BUISSE;38;Pra Paris B.P 6 – 38361 SASSENAGE CEDEX;;SASSENAGE;38360;SASSENAGE;A;NS - NON SEVESO;En fonctionnement;33127830900025;857827;2042097
59;1777;SCD (Broye);SCD (Broye);;;BROYE AUBIGNEY MONTSEUGNY;70;;;MONTSEUGNY;70140;BROYE AUBIGNEY MONTSEUGNY;;NS - NON SEVESO;A l'arrêt;427050133;839700;2262000
53;1338;SOCIETE DES CARRIERES DE CHERBOURG ;SOCIETE DES CARRIERES DE CHERBOURG ;ET DU COTENTIN;Avenue de Bremerhaven;CHERBOURG OCTEVILLE;50;;Le roule;LA GLACERIE;50470;LA GLACERIE;A;NS - NON SEVESO;En fonctionnement;421255399;315607;2521733
61;1303;SARL CARRIERES DE NEAUX;SARL CARRIERES DE NEAUX;LA PINEE;;ST SYMPHORIEN DE LAY;42;LA PINEE;;ST SYMPHORIEN DE LAY;42470;ST SYMPHORIEN DE LAY;;NS - NON SEVESO;A l'arrêt;407080266;744998;2106877
57;3119;TERRA VHM;TERRA VHM;"""Rougemère""";;LIFFOL LE PETIT;52;La Vignotte;;LIFFOL LE PETIT;52700;LIFFOL LE PETIT;A;NS - NON SEVESO;En fonctionnement;82725007700035;836674;2371107
61;699;CARRIERES PONT L ISERE STE DES ;CARRIERES PONT L ISERE STE DES ;LES MOLLES;;PONT DE L ISERE;26;LES MOLLES;;PONT DE L ISERE;26600;PONT DE L ISERE;;NS - NON SEVESO;A l'arrêt;335620340;799867;2003648
100;3565;STE CARRIERES DE BRAY-EN-VAL;STE CARRIERES DE BRAY-EN-VAL;LA PLAINE;;BOUZY LA FORET;45;;;BOUZY LA FORET;45460;BOUZY LA FORET;;NS - NON SEVESO;A l'arrêt;;603416;2318918
68;3489;SARL JACOB FRERES;JACOB FRERES SARL;Le Bouriou;;ST SALVY DE LA BALME;81;La Sigarié;;ST SALVY DE LA BALME;81490;ST SALVY DE LA BALME;A;NS - NON SEVESO;En fonctionnement;38975730300034;604963;1845234
62;3653;CLOSSET Bernard (le pré gravier);CLOSSET Bernard (le pré gravier);LE PRE GRAVIER;;DOULCON;55;;;DOULCON;55110;DOULCON;;NS - NON SEVESO;A l'arrêt;846470094;805137;2491355
61;1168;NAULIN SA;NAULIN SA;LE CAMP;;CIVENS;42;LE CAMP;;CIVENS;42110;CIVENS;;NS - NON SEVESO;A l'arrêt;302116488;748798;2088177
57;3724;RONCARI;RONCARI Reims la B, Vauclerc, Ecriennes;La Côte Beauchamp, le Terrain militaire,;le Gercourt;ECRIENNES;51;Rue du Canal;;VITRY EN PERTHOIS;51300;VITRY EN PERTHOIS;A;NS - NON SEVESO;En fonctionnement;38419008800011;773278;2412721
61;1459;VERDOLINI ;VERDOLINI  Pusignan;PATTOIAZ;;PUSIGNAN;69;PATTOIAZ;;PUSIGNAN;69330;PUSIGNAN;A;NS - NON SEVESO;En fonctionnement;967506031;813414;2087464
58;180;HIBON Ell+court;HIBON Ell+court;VAL VIOTTE;;ELLECOURT;76;;;ELLECOURT;76390;ELLECOURT;;NS - NON SEVESO;A l'arrêt;42228864700015;555034;2533822
100;3310;SA ETS CHAVIGNY;SA ETS CHAVIGNY;LA MALADRIE;;FRETEVAL;41;;;FRETEVAL;41160;FRETEVAL;;NS - NON SEVESO;A l'arrêt;;515174;2321642
61;1554;ROSSAT VICTORIN;ROSSAT VICTORIN;AUX CASSES;;FONTCOUVERTE LA TOUSSUIRE;73;AUX CASSES;;LA TOUSSUIRE;73300;FONTCOUVERTE LA TOUSSUIRE;;NS - NON SEVESO;A l'arrêt;77011849;912439;2034789
58;181;ETC Ell+court;ETC Ell+court;BRISEPOT BALLASTIERE;;ELLECOURT;76;;;ELLECOURT;76390;ELLECOURT;;NS - NON SEVESO;A l'arrêt;305153348;555034;2533822
70;302;BARDE André;BARDE André;LA CORNE;;MARCONNE;62;;;MARCONNE;62140;MARCONNE;;NS - NON SEVESO;A l'arrêt;616920476;578588;2597099
68;3239;SOGEFIMA (MALET);SOGEFIMA (MALET);Le Pechieu;;MURET;31;25 avenue de Larrieu;BP 1014;TOULOUSE;31500;TOULOUSE;;NS - NON SEVESO;Récolement fait;34302149900037;516235;1830891
54;318;ROSA PAUL ET FILS  SARL;ROSA PAUL & Fils Vianges;PIECE GUERARD ET MECHOIS;;VIANGES;21;;;EPOISSES;21460;EPOISSES;A;NS - NON SEVESO;En fonctionnement;17050220;750147;2242726
72;1845;BLANCHET eurl;BLANCHET eurl;Champ Chaperon et Sur Pierre;;MARNES;79;Route de St Jean de Sauves;;MIREBEAU;86110;MIREBEAU;;NS - NON SEVESO;Récolement fait;;420500;2208992
61;1763;MAIRIE DES CONTAMINES;MAIRIE DES CONTAMINES;LA COTE DU PLANE;;LES CONTAMINES MONTJOIE;74;LA COTE DU PLANE;;LES CONTAMINES MONTJOIE;74170;LES CONTAMINES MONTJOIE;;NS - NON SEVESO;A l'arrêt;776564106;941098;2100677
70;245;Carrière de M. LECAT;Carrière de M. LECAT;60 DU 2 DE NOEUX LES;;HERSIN COUPIGNY;62;;;HERSIN COUPIGNY;62530;HERSIN COUPIGNY;;NS - NON SEVESO;Récolement fait;325348589;621988;2605163
70;401;VERCHOCQ (COMMUNE DE);VERCHOCQ (COMMUNE DE);LE PREBAUX;;VERCHOCQ;62;;;VERCHOCQ;62560;VERCHOCQ;NC;NS - NON SEVESO;Récolement fait;;578931;2617038
62;3984;SABLIERES DE SENTZICH;SABLIERES DE SENTZICH - Port d'Illange;;;UCKANGE;57;;;UCKANGE;57270;UCKANGE;;NS - NON SEVESO;Récolement fait;303448518;877578;2485370
51;3221;ORGANO FERTIL;ORGANO FERTIL;MARAIS DE BRETEL;;ST PIERRE ES CHAMPS;60;;;ST PIERRE ES CHAMPS;60850;ST PIERRE ES CHAMPS;;NS - NON SEVESO;A l'arrêt;691920474;555757;2492988
54;121;COLAS EST-Fenay;COLAS EST-Fenay;LA PIECE ROUGE;;FENAY;21;Z.I. SUD - BOULEVARD EIFFEL;BP 58;LONGVIC;21602;LONGVIC CEDEX;;NS - NON SEVESO;Récolement fait;329198337;806363;2251589
59;1878;EGDA;EGDA;MONT DE VANNE;;ST BARTHELEMY;70;;;ST BARTHELEMY;70270;ST BARTHELEMY;;NS - NON SEVESO;A l'arrêt;325721272;918674;2314245
61;1525;BERGERI ROBERT PERE&FILS;BERGERI ROBERT PERE&FILS;LES CHAMPS;;BOZEL;73;LES CHAMPS;;BOZEL;73350;BOZEL;;NS - NON SEVESO;A l'arrêt;776451171;937183;2058428
72;2744;TUILERIE LAMBERT - BALUTEAU LASCOUX SAS;TUILERIE LAMBERT (ex LASCOUX);Les Delignaunes;;ST ADJUTORY;16;le Mas;;ST ADJUTORY;16310;ST ADJUTORY;A;NS - NON SEVESO;En fonctionnement;32843959100012;455432;2088667
70;84;SURSCHISTE SA ;SURSCHISTE SA ;LE PINSON;;RAISMES;59;;;RAISMES;59590;RAISMES;;NS - NON SEVESO;Récolement fait;36620044200056;681641;2601436
59;1823;GROUPEMENT FOREST DE SAINT ANDRE;GROUPEMENT FOREST DE SAINT ANDRE;La Brisée;;FRAHIER ET CHATEBIER;70;;;FRAHIER ET CHATEBIER;70400;FRAHIER ET CHATEBIER;;NS - NON SEVESO;Récolement fait;2278;931636;2302432
61;673;GOURDOL JEAN LUC;GOURDOL JEAN LUC;LES GAQUETS, BIBIOT, PIERRE BLANCHE;;MONTOISON;26;QUARTIER PIERRE BLANCHE;;AMBONIL;26800;AMBONIL;A;NS - NON SEVESO;En fonctionnement;35113846600013;803524;1980921
51;5934;JACOB André;JACOB André;1 rue du Four Banal;;FOURDRINOY;80;1 rue du Four Banal;;FOURDRINOY;80310;FOURDRINOY;D;NS - NON SEVESO;En fonctionnement;39419300700017;583156;2547660
72;384;SABLIERS CHARENTAIS SA (carrière);SABLIERS CHARENTAIS SA (carrière);Les Grissotières;;DOLUS D OLERON;17;RD 734 - BP 7;;DOLUS D OLERON;17550;DOLUS D OLERON;;NS - NON SEVESO;Récolement fait;316843552;319082;2106599
61;378;MORILLON CORVOL RHONE-ALPES;MORILLON CORVOL RHONE-ALPES;LA RIVIERE;;BEAUCHASTEL;7;LA RIVIERE;;BEAUCHASTEL;7800;BEAUCHASTEL;;NS - NON SEVESO;A l'arrêt;552005969;794993;1983732
67;279;RINALDI;RINALDI;MERELLES;;LAPOUTROIE;68;;;LAPOUTROIE;68650;LAPOUTROIE;A;NS - NON SEVESO;Récolement fait;915821193;959266;2362266
68;3491;JACOB RICHARD;JACOB RICHARD;Ladrech;;ST SALVY DE LA BALME;81;La Sigarié;;ST SALVY DE LA BALME;81490;ST SALVY DE LA BALME;A;NS - NON SEVESO;En fonctionnement;43399176700016;604963;1845234
68;3235;IMERYS TC (Carrière Colomiers);IMERYS TC (Carrière Colomiers);"Carrière d'Argile de ""Sauvegarde""";35 route d'Auch;COLOMIERS;31;Route d'Auch;;COLOMIERS;31770;COLOMIERS;A;NS - NON SEVESO;En fonctionnement;43347350100115;515405;1845223
62;3654;UNIMETAL;UNIMETAL;A BILLEMONT;;DUGNY SUR MEUSE;55;;;DUGNY SUR MEUSE;55100;DUGNY SUR MEUSE;;NS - NON SEVESO;A l'arrêt;330649815;821595;2459895
61;958;EXPLOIT CARRIERESGRESIVAUDAN;EXPLOIT CARRIERESGRESIVAUDAN;LES ILES;;LA PIERRE;38;LES ILES;;LA PIERRE;38570;LA PIERRE;;NS - NON SEVESO;A l'arrêt;1397;883224;2039004
62;3496;GERGONE JEAN (Xaveux);GERGONE JEAN (Xaveux);;;GIRIVILLER;54;;;GIRIVILLER;54830;GIRIVILLER;;NS - NON SEVESO;A l'arrêt;768704504;907776;2389599
61;953;POUGET-SOLAMI;POUGET-SOLAMI;GRAND MARAIS;;PASSINS;38;GRAND MARAIS;;PASSINS;38510;PASSINS;;NS - NON SEVESO;A l'arrêt;643620123;840798;2081077
55;2872;POMPEI SARL;POMPEI (Trékouet);TREKOUET;;MUEL;35;;;MUEL;35290;MUEL;A;NS - NON SEVESO;En fonctionnement;30256660900053;264758;2353124
62;3808;DELANDRE Louis (le bois la grange);DELANDRE Louis (le bois la grange);LE BOIS LA GRANGE;;ST MAURICE SOUS LES COTES;55;;;ST MAURICE SOUS LES COTES;55210;ST MAURICE SOUS LES COTES;;NS - NON SEVESO;A l'arrêt;846570711;843839;2451059
55;3213;GOULARD Michel;GOULARD Michel;LEFFAUT;;PLUMELEC;56;;;PLUMELEC;56420;PLUMELEC;A;NS - NON SEVESO;En fonctionnement;33884283400016;231420;2326889
56;2012;ARTISANAT DE LA PIERRE SARL;ARTISANAT DE LA PIERRE pierre levée;Pierre Levée;;VILLEDIEU;15;Les Narces;;VILLEDIEU;15100;VILLEDIEU;;NS - NON SEVESO;En construction;38850296500014;673546;2005675
100;3654;SA ROLAND FRERES;SA ROLAND FRERES;BARBEREAU;;MARCILLY EN VILLETTE;45;;;MARCILLY EN VILLETTE;45240;MARCILLY EN VILLETTE;;NS - NON SEVESO;A l'arrêt;;577554;2312578
57;2680;DDE Sommesous;DDE Sommesous;"""Les Crayeres""";;SOMMESOUS;51;40 boulevard Anatole France;;CHALONS EN CHAMPAGNE;51000;CHALONS EN CHAMPAGNE;;NS - NON SEVESO;Récolement fait;32001807000252;737617;2416200
100;2848;DESLANDES JEAN LOUP;DESLANDES JEAN LOUP;LES CHEZEAUX;;RIVARENNES;36;;;RIVARENNES;36800;RIVARENNES;;NS - NON SEVESO;A l'arrêt;;528215;2182830
57;3044;EIFFAGE TP;EIFFAGE TP (ex RM) Ecriennes;Matignicourt-Goncourt;Le Fossé St Hilaire,;ECRIENNES;51;ZA La Neuvilette;12, avenue André Margot BP 125;REIMS;51884;REIMS CEDEX 3;A;NS - NON SEVESO;En fonctionnement;444545859;774113;2411701
56;1025;DURON SAS;DURON (Combrailles);"""PUY CHALUS""";;COMBRAILLES;63;BP4;;DURTOL;63830;DURTOL;;NS - NON SEVESO;Récolement fait;77734598400010;623943;2093947
55;1031;LAGADEC ET CIE S.A;LAGADEC ET CIE SA - Ploudiry;KERFAVEN;;PLOUDIRY;29;KERFAVEN;;PLOUDIRY;29800;PLOUDIRY;A;NS - NON SEVESO;En fonctionnement;635820293;120977;2407058
51;3513;PONT-NOYELLES (ASSOC FONCIERE);PONT-NOYELLES (ASSOC FONCIERE);LA BAHOTTE;;PONT NOYELLES;80;;;PONT NOYELLES;80115;PONT NOYELLES;;NS - NON SEVESO;Récolement fait;572483121;608030;2549669
61;1342;GMRT;GMRT;BOIS DIEU;;BOURG DE THIZY;69;BOIS DIEU;;BOURG DE THIZY;69240;BOURG DE THIZY;;NS - NON SEVESO;Récolement fait;786680168;751798;2116877
61;1641;CHAUVIN RAOUL;CHAUVIN RAOUL;LES AVENIERES RAVELO;;ST JULIEN MONT DENIS;73;LES AVENIERES RAVELO;;ST JULIEN MONT DENIS;73870;ST JULIEN MONT DENIS;;NS - NON SEVESO;A l'arrêt;76512839;919235;2036583
61;1341;GMRT (Clair matin);GMRT (Clair matin);CLAIR MATIN;;BOURG DE THIZY;69;CLAIR MATIN;;BOURG DE THIZY;69240;BOURG DE THIZY;;NS - NON SEVESO;Récolement fait;726680168;749663;2116676
67;352;MICHEL;MICHEL (anciennement HECKEL) Wittenheim;TELEGRAPH;ZERC3;WITTENHEIM;68;BP 60046;;KINGERSHEIM;68260;KINGERSHEIM;A;NS - NON SEVESO;En fonctionnement;945951218;975035;2323543
68;9128;PIERRE MARBREE DE SAUCLIERES SARL;PMS SARL (extraction illicite);Serre de Colon;;SAUCLIERES;12;536 rue des Micocouliers;;SAUCLIERES;12230;SAUCLIERES;;NS - NON SEVESO;A l'arrêt;;683469;1886919
67;22;NONNENMACHER ;NONNENMACHER ;HERRENWALD;ZERC2;BRUMATH;67;;;BRUMATH;67170;BRUMATH;A;NS - NON SEVESO;En fonctionnement;70850207500011;996753;2426180
67;198;COMMUNE D'ARTZENHEIM;COMMUNE D'ARTZENHEIM;FUENFZIG JUCHARTEN;ZERC1;ARTZENHEIM;68;;;ARTZENHEIM;68320;ARTZENHEIM;A;NS - NON SEVESO;Récolement fait;216800094;988157;2359293
67;73;EUROVIA Alsace Franche-Comté;EUROVIA (Hoerdt);SCHLUNCK ET RUHEPLATZ;ZERC2;HOERDT;67;RTE DE LA WANTZENAU;BP 3;HOERDT;67720;HOERDT;A;NS - NON SEVESO;En fonctionnement;34889929500029;1002884;2423600
51;5084;BATICLE Jean Louis;BATICLE Jean Louis;"""La Peirre"" - parcelle A n° 355";;MARTINCOURT;60;10 rue de Catheux;;LIHUS;60360;LIHUS;D;NS - NON SEVESO;En fonctionnement;;568029;2502970
68;2526;CARRIERES DE LA NESTE;CARRIERES DE LA NESTE (Hèches);Le Louda;;HECHES;65;;;MONTEGUT;65150;MONTEGUT;A;NS - NON SEVESO;En fonctionnement;43189233000025;438950;1780595
57;2342;CARRIERES ST CHRISTOPHE La Remise;CARRIERES ST CHRISTOPHE La Remise;La Remise;;ROSNAY L HOPITAL;10;rue Louis de Freycinet;BP 6;ST ANDRE LES VERGERS;10120;ST ANDRE LES VERGERS;;NS - NON SEVESO;Récolement fait;78826840700087;761066;2385282
62;3812;SA HUILERIE BERNARD;SA HUILERIE BERNARD;DESSUS GRANDE GREVE;;SAMPIGNY;55;;;SAMPIGNY;55300;SAMPIGNY;;NS - NON SEVESO;A l'arrêt;487020158;831450;2428940
53;1352;LEROUX-PHILIPPE LA PERNELLE;LEROUX-PHILIPPE LA PERNELLE;des Roches;;LA PERNELLE;50;;;LA PERNELLE;50630;LA PERNELLE;A;NS - NON SEVESO;En fonctionnement;69265003900013;336681;2519743
61;11315;THOMAS (Civens La motasse);THOMAS (Civens La Motasse);;Lieu dit La Motasse;CIVENS;42;;;CIVENS;42110;CIVENS;A;NS - NON SEVESO;En construction;;744916;2086125
66;680;GINEL SAPEDE STE ;GINEL SAPEDE STE ;;;ROUSSON;30;Les Levades;;ROUSSON;30340;ROUSSON;;NS - NON SEVESO;A l'arrêt;;744673;1912304
62;3423;ANTONINI (bois de la côte);ANTONINI (bois de la côte);;;CRIVILLER;54;;;CRIVILLER;54120;BACCARAT;;NS - NON SEVESO;A l'arrêt;761800754;925882;2392457
100;3516;SOTRAP;SOTRAP;LA GENETIERE;;VILLEFRANCHE SUR CHER;41;;;VILLEFRANCHE SUR CHER;41200;VILLEFRANCHE SUR CHER;;NS - NON SEVESO;A l'arrêt;;557009;2254923
